Step,train.ptp_loss,train.loss,train.action_loss,val.ptp_loss,val.loss,val.action_loss
0,0.086213979,0.08318343,0.065940636,0.02451865,0.020801727,0.015897997
1,0.021034763,0.016365081,0.012158128,0.00878572,0.009486579,0.00772944
2,0.014269197,0.012291814,0.009437974,0.04204853,0.027212308,0.0188026
3,0.011583854,0.010990922,0.008674151,0.00456726,0.007003516,0.00609006
4,0.00837573,0.00908738,0.007412233,0.00469062,0.011690578,0.01075246
5,0.007730906,0.00946053,0.007914345,0.0033698,0.008543605,0.00786964
6,0.00801,0.010136173,0.008534173,0.00668369,0.009114604,0.00777787
7,0.005928724,0.00827063,0.00708489,0.00205321,0.006533442,0.0061228
8,0.003838625,0.00711848,0.006350757,0.00202241,0.006690321,0.00628584
9,0.0037261,0.00703853,0.006293312,0.00221683,0.006001176,0.00555781
10,0.003539326,0.00710028,0.006392418,0.00160042,0.006474539,0.00615445
11,0.002598989,0.00639007,0.005870267,0.00142746,0.006041431,0.00575594
12,0.002272271,0.00626112,0.005806661,0.00279603,0.006833212,0.00627401
13,0.003593051,0.00735982,0.006641215,0.00074304,0.005574173,0.00542557
14,0.001568292,0.00572393,0.005410275,0.00063204,0.005398483,0.00527207
15,0.001441426,0.00568835,0.00540007,0.00074999,0.00582689,0.00567689
16,0.002091152,0.00604313,0.005624899,0.00123412,0.005851861,0.00560504
17,0.001701822,0.00572821,0.00538785,0.00090308,0.006028193,0.00584758
18,0.001594977,0.00565503,0.005336034,0.00098568,0.005564976,0.00536784
19,0.001679186,0.00571061,0.005374774,0.00069469,0.00522912,0.00509018
20,0.001899381,0.00580831,0.005428435,0.00108317,0.005260333,0.0050437
21,0.001681952,0.00570281,0.005366424,0.00074903,0.005554288,0.00540448
22,0.001162745,0.0053183,0.005085752,0.00082785,0.005419475,0.0052539
23,0.001231932,0.00539255,0.005146165,0.00079552,0.005468059,0.00530895
24,0.001445076,0.0054996,0.005210583,0.00098849,0.005476196,0.0052785
25,0.001687943,0.00561855,0.005280961,0.00102037,0.00525793,0.00505386
26,0.001067504,0.005237,0.005023503,0.00073361,0.00543196,0.00528524
27,0.000964722,0.00517047,0.004977526,0.00071236,0.005495151,0.00535268
28,0.00096277,0.00509636,0.004903805,0.00065518,0.005207076,0.00507604
29,0.001203249,0.00531279,0.005072139,0.00180543,0.005743722,0.00538264
